,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
0,800,500,25.0,3.0,1.25,0.1,80.40201005025125,80.40201005025125,0.08,0.08,0.5
1,800,500,25.0,3.0,1.25,0.1,153.2663316582915,153.2663316582915,0.05333333333333334,0.05333333333333334,0.5
2,800,500,25.0,3.0,1.25,0.1,160.8040201005025,160.8040201005025,0.05333333333333334,0.05333333333333334,0.5
3,800,500,25.0,3.0,1.25,0.1,148.2412060301508,148.2412060301508,0.08,0.08,0.5
4,800,500,25.0,3.0,1.25,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
5,800,500,25.0,3.0,1.25,0.1,72.8643216080402,72.8643216080402,0.05333333333333334,0.05333333333333334,0.5
6,800,500,25.0,3.0,1.25,0.1,40.20100502512565,40.20100502512565,0.08,0.08,0.5
7,800,500,25.0,3.0,1.25,0.1,52.7638190954774,52.7638190954774,0.05333333333333334,0.05333333333333334,0.5
8,800,500,25.0,3.0,1.25,0.1,500.0,500.0,0.08,0.08,0.5
9,800,500,25.0,3.0,1.25,0.1,95.4773869346734,95.4773869346734,0.05333333333333334,0.05333333333333334,0.5
10,800,500,25.0,3.0,1.25,0.1,95.4773869346734,95.4773869346734,0.05333333333333334,0.05333333333333334,0.5
11,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
12,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
13,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
14,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
15,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
16,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
17,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
18,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
19,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
20,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
21,800,500,10.0,3.5,0.25,0.1,0.0,500.0,0.0,0.0,0.5
22,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
23,800,500,10.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
24,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
25,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
26,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
27,800,500,10.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
28,800,500,10.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
29,800,500,10.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
30,800,500,10.0,3.0,0.25,0.1,0.0,500.0,0.0,0.0,0.5
31,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
32,800,500,10.0,3.0,0.25,0.1,0.0,0.0,0.0,0.0,0.5
33,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
34,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
35,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
36,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
37,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
38,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
39,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
40,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
41,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
42,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
43,800,500,10.0,2.5,0.25,0.1,0.0,0.0,0.0,0.0,0.5
44,800,500,25.0,2.0,0.75,0.1,30.150753768844197,30.150753768844197,0.08,0.08,0.5
45,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.0,0.0,0.5
46,800,500,25.0,2.0,0.75,0.1,0.0,0.0,0.0,0.0,0.5
