,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.0,0.1,0.1,0.0,0.0
1,1000,10.0,3.0,0.075,0.1,0.1,0.0,0.0
2,1000,10.0,3.0,0.15,0.1,0.1,0.0,0.0
3,1000,10.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
4,1000,10.0,3.0,0.3,0.1,0.1,0.0,0.0
5,1000,10.0,3.0,0.375,0.1,0.1,0.0,0.0
6,1000,10.0,3.0,0.44999999999999996,0.1,0.1,0.0,0.0
7,1000,10.0,3.0,0.525,0.1,0.1,0.0,0.0
8,1000,10.0,3.0,0.6,0.1,0.1,0.05333333333333334,6.201240248049601
9,1000,10.0,3.0,0.6749999999999999,0.1,0.1,0.05333333333333334,9.60192038407682
10,1000,10.0,3.0,0.75,0.1,0.1,0.05333333333333334,4.550910182036404
11,1000,10.0,3.0,0.825,0.1,0.1,0.02666666666666667,0.4000800160031872
12,1000,10.0,3.0,0.8999999999999999,0.1,0.1,0.0,0.0
13,1000,10.0,3.0,0.975,0.1,0.1,0.0,0.0
14,1000,10.0,3.0,1.05,0.1,0.1,0.0,0.0
15,1000,10.0,3.0,1.125,0.1,0.1,0.0,0.0
16,1000,10.0,3.0,1.2,0.1,0.1,0.0,0.0
17,1000,10.0,3.0,1.275,0.1,0.1,0.0,0.0
18,1000,10.0,3.0,1.3499999999999999,0.1,0.1,0.0,0.0
19,1000,10.0,3.0,1.425,0.1,0.1,0.0,0.0
20,1000,10.0,3.0,1.5,0.1,0.1,0.0,0.0
21,1000,15.0,3.0,0.0,0.1,0.1,0.0,0.0
22,1000,15.0,3.0,0.075,0.1,0.1,0.0,0.0
23,1000,15.0,3.0,0.15,0.1,0.1,0.0,0.0
24,1000,15.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
25,1000,15.0,3.0,0.3,0.1,0.1,0.0,0.0
26,1000,15.0,3.0,0.375,0.1,0.1,0.0,0.0
27,1000,15.0,3.0,0.44999999999999996,0.1,0.1,0.0,0.0
28,1000,15.0,3.0,0.525,0.1,0.1,0.08,65.46309261852372
29,1000,15.0,3.0,0.6,0.1,0.1,0.08,77.1654330866173
30,1000,15.0,3.0,0.6749999999999999,0.1,0.1,0.08,67.3634726945389
31,1000,15.0,3.0,0.75,0.1,0.1,0.08,59.2118423684737
32,1000,15.0,3.0,0.825,0.1,0.1,0.05333333333333334,51.660332066413275
33,1000,15.0,3.0,0.8999999999999999,0.1,0.1,0.05333333333333334,43.50870174034807
34,1000,15.0,3.0,0.975,0.1,0.1,0.05333333333333334,31.90638127625526
35,1000,15.0,3.0,1.05,0.1,0.1,0.05333333333333334,23.804760952190435
36,1000,15.0,3.0,1.125,0.1,0.1,0.05333333333333334,17.003400680136025
