,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.0,0.1,0.1,0.0,0.0
1,1000,10.0,3.0,0.075,0.1,0.1,0.0,0.0
2,1000,10.0,3.0,0.15,0.1,0.1,0.0,0.0
3,1000,10.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
4,1000,10.0,3.0,0.3,0.1,0.1,0.0,0.0
5,1000,10.0,3.0,0.375,0.1,0.1,0.0,0.0
6,1000,10.0,3.0,0.44999999999999996,0.1,0.1,0.0,0.0
7,1000,10.0,3.0,0.525,0.1,0.1,0.0,0.0
8,1000,10.0,3.0,0.6,0.1,0.1,0.03,5.050505050505052
9,1000,10.0,3.0,0.6749999999999999,0.1,0.1,0.03,5.050505050505052
10,1000,10.0,3.0,0.75,0.1,0.1,0.03,0.0
11,1000,10.0,3.0,0.825,0.1,0.1,0.0,0.0
12,1000,10.0,3.0,0.8999999999999999,0.1,0.1,0.0,0.0
13,1000,10.0,3.0,0.975,0.1,0.1,0.0,0.0
14,1000,10.0,3.0,1.05,0.1,0.1,0.0,0.0
15,1000,10.0,3.0,1.125,0.1,0.1,0.0,0.0
16,1000,10.0,3.0,1.2,0.1,0.1,0.0,0.0
17,1000,10.0,3.0,1.275,0.1,0.1,0.0,0.0
18,1000,10.0,3.0,1.3499999999999999,0.1,0.1,0.0,0.0
19,1000,10.0,3.0,1.425,0.1,0.1,0.0,0.0
20,1000,10.0,3.0,1.5,0.1,0.1,0.0,0.0
21,1000,15.0,3.0,0.0,0.1,0.1,0.0,0.0
22,1000,15.0,3.0,0.075,0.1,0.1,0.0,0.0
23,1000,15.0,3.0,0.15,0.1,0.1,0.0,0.0
24,1000,15.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
25,1000,15.0,3.0,0.3,0.1,0.1,0.0,0.0
26,1000,15.0,3.0,0.375,0.1,0.1,0.0,0.0
27,1000,15.0,3.0,0.44999999999999996,0.1,0.1,0.0,0.0
28,1000,15.0,3.0,0.525,0.1,0.1,0.03,65.65656565656565
29,1000,15.0,3.0,0.6,0.1,0.1,0.04,75.75757575757575
30,1000,15.0,3.0,0.6749999999999999,0.1,0.1,0.04,65.65656565656565
31,1000,15.0,3.0,0.75,0.1,0.1,0.04,55.55555555555554
32,1000,15.0,3.0,0.825,0.1,0.1,0.04,50.50505050505052
33,1000,15.0,3.0,0.8999999999999999,0.1,0.1,0.03,40.404040404040416
34,1000,15.0,3.0,0.975,0.1,0.1,0.03,30.30303030303031
35,1000,15.0,3.0,1.05,0.1,0.1,0.03,20.202020202020208
36,1000,15.0,3.0,1.125,0.1,0.1,0.02,15.151515151515156
37,1000,15.0,3.0,1.2,0.1,0.1,0.0,10.101010101010104
38,1000,15.0,3.0,1.275,0.1,0.1,0.0,0.0
