,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.0,0.1,0.1,0.0,0.0
1,1000,10.0,3.0,0.075,0.1,0.1,0.0,0.0
2,1000,10.0,3.0,0.15,0.1,0.1,0.0,0.0
3,1000,10.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
4,1000,10.0,3.0,0.3,0.1,0.1,0.0,0.0
5,1000,10.0,3.0,0.375,0.1,0.1,0.0,0.0
6,1000,10.0,3.0,0.44999999999999996,0.1,0.1,0.007250179628899347,4.11567340270063
7,1000,10.0,3.0,0.525,0.1,0.1,0.02451207318942194,12.628095315091247
8,1000,10.0,3.0,0.6,0.1,0.1,0.032254370441853926,17.440863138173103
9,1000,10.0,3.0,0.6749999999999999,0.1,0.1,0.026486573585580143,14.779908136514848
10,1000,10.0,3.0,0.75,0.1,0.1,0.02787358242399539,13.493687665085789
11,1000,10.0,3.0,0.825,0.1,0.1,0.025441428827880294,10.548249200777532
12,1000,10.0,3.0,0.8999999999999999,0.1,0.1,0.022901284175825452,8.69550757249387
13,1000,10.0,3.0,0.975,0.1,0.1,0.01926443972451436,6.505341292660434
14,1000,10.0,3.0,1.05,0.1,0.1,0.014264186259495966,3.7676244333013873
15,1000,10.0,3.0,1.125,0.1,0.1,0.010697366523294359,2.2240476295254457
16,1000,10.0,3.0,1.2,0.1,0.1,0.006537670035031708,1.2798578264738456
17,1000,10.0,3.0,1.275,0.1,0.1,0.0032374773416539698,0.2518962969968771
18,1000,10.0,3.0,1.3499999999999999,0.1,0.1,0.001330012448143511,0.0
19,1000,10.0,3.0,1.425,0.1,0.1,0.0,0.0
20,1000,10.0,3.0,1.5,0.1,0.1,0.0013300124481435106,0.0
21,1000,15.0,3.0,0.0,0.1,0.1,0.020664323784309598,0.2518962969968771
22,1000,15.0,3.0,0.075,0.1,0.1,0.0,0.0
23,1000,15.0,3.0,0.15,0.1,0.1,0.0,0.0
24,1000,15.0,3.0,0.22499999999999998,0.1,0.1,0.0,0.0
25,1000,15.0,3.0,0.3,0.1,0.1,0.0,0.0
26,1000,15.0,3.0,0.375,0.1,0.1,0.003990037344430531,4.030340751950033
27,1000,15.0,3.0,0.44999999999999996,0.1,0.1,0.029669962857184373,44.66380810114076
28,1000,15.0,3.0,0.525,0.1,0.1,0.037172115200459585,59.87620792004766
29,1000,15.0,3.0,0.6,0.1,0.1,0.02084128353742455,51.24521254699482
30,1000,15.0,3.0,0.6749999999999999,0.1,0.1,0.01389970877498205,44.890297309362275
31,1000,15.0,3.0,0.75,0.1,0.1,0.017234964821905153,38.59359348172985
32,1000,15.0,3.0,0.825,0.1,0.1,0.01676674131733289,35.64329661424492
33,1000,15.0,3.0,0.8999999999999999,0.1,0.1,0.017655605980759534,33.99505188278551
