,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.0,0.1,0.1,0.004613846234673134,0.0
1,1000,10.0,3.0,0.075,0.1,0.1,0.025185950056472818,0.0
2,1000,10.0,3.0,0.15,0.1,0.1,0.134403931097948,0.0
3,1000,10.0,3.0,0.22499999999999998,0.1,0.1,0.12270280948026094,0.0
4,1000,10.0,3.0,0.3,0.1,0.1,0.0626299668527838,0.0
5,1000,10.0,3.0,0.375,0.1,0.1,0.0715836221499873,0.0
6,1000,10.0,3.0,0.44999999999999996,0.1,0.1,0.023334099883368774,3.98342605347263
7,1000,10.0,3.0,0.525,0.1,0.1,0.02655130924605449,12.628145436177185
8,1000,10.0,3.0,0.6,0.1,0.1,0.028011566060351486,17.539236498363167
9,1000,10.0,3.0,0.6749999999999999,0.1,0.1,0.031538862021641315,14.758094612288463
10,1000,10.0,3.0,0.75,0.1,0.1,0.029304085384644202,13.322330799401291
11,1000,10.0,3.0,0.825,0.1,0.1,0.02597235011859239,10.442441855835316
12,1000,10.0,3.0,0.8999999999999999,0.1,0.1,0.022285969430198765,8.532015630479517
13,1000,10.0,3.0,0.975,0.1,0.1,0.017573504324479596,6.334535909558221
14,1000,10.0,3.0,1.05,0.1,0.1,0.016067781298645233,3.7779209434224197
15,1000,10.0,3.0,1.125,0.1,0.1,0.010360105930485574,2.331447339278991
16,1000,10.0,3.0,1.2,0.1,0.1,0.005385822525794121,1.3731400812309378
17,1000,10.0,3.0,1.275,0.1,0.1,0.002493773340269083,0.0
18,1000,10.0,3.0,1.3499999999999999,0.1,0.1,0.0,0.0
19,1000,10.0,3.0,1.425,0.1,0.1,0.0,0.0
20,1000,10.0,3.0,1.5,0.1,0.1,0.0024937733402690824,0.0
21,1000,15.0,3.0,0.0,0.1,0.1,0.016574433691992924,0.0
22,1000,15.0,3.0,0.075,0.1,0.1,0.025960596226202042,0.0
23,1000,15.0,3.0,0.15,0.1,0.1,0.14665822345936397,0.0
24,1000,15.0,3.0,0.22499999999999998,0.1,0.1,0.13854891389297783,0.0
25,1000,15.0,3.0,0.3,0.1,0.1,0.08281918037212578,0.0
26,1000,15.0,3.0,0.375,0.1,0.1,0.11955960884946627,4.030340751950033
27,1000,15.0,3.0,0.44999999999999996,0.1,0.1,0.024391656692748866,44.55415927932301
28,1000,15.0,3.0,0.525,0.1,0.1,0.02986636032252094,60.06408928569789
29,1000,15.0,3.0,0.6,0.1,0.1,0.02013921597281662,51.277440346385454
30,1000,15.0,3.0,0.6749999999999999,0.1,0.1,0.020559128345833812,44.833581100170264
31,1000,15.0,3.0,0.75,0.1,0.1,0.024639130680893868,38.70087260857462
32,1000,15.0,3.0,0.825,0.1,0.1,0.02407784888982406,35.7182498155143
33,1000,15.0,3.0,0.8999999999999999,0.1,0.1,0.02733067724256007,34.13960770046273
34,1000,15.0,3.0,0.975,0.1,0.1,0.030096607105016944,31.981509676908946
35,1000,15.0,3.0,1.05,0.1,0.1,0.03195258177038328,32.03656936725754
36,1000,15.0,3.0,1.125,0.1,0.1,0.02824933341517121,22.948169099906575
37,1000,15.0,3.0,1.2,0.1,0.1,0.02732359468601134,20.972345226674463
38,1000,15.0,3.0,1.275,0.1,0.1,0.01998648753841019,17.651306908979667
39,1000,15.0,3.0,1.3499999999999999,0.1,0.1,0.020129372144523486,17.32207493734467
40,1000,15.0,3.0,1.425,0.1,0.1,0.01360660731166898,15.223996720803742
41,1000,15.0,3.0,1.5,0.1,0.1,0.012986479584623237,8.792143576968545
42,1000,20.0,3.0,0.0,0.1,0.1,0.025683060715132357,0.0
43,1000,20.0,3.0,0.075,0.1,0.1,0.0336429707483699,0.0
44,1000,20.0,3.0,0.15,0.1,0.1,0.14607141014866,0.0
45,1000,20.0,3.0,0.22499999999999998,0.1,0.1,0.13949303555696313,0.0
46,1000,20.0,3.0,0.3,0.1,0.1,0.09408501171499922,0.0
47,1000,20.0,3.0,0.375,0.1,0.1,0.12691961961729348,37.347568437869405
48,1000,20.0,3.0,0.44999999999999996,0.1,0.1,0.03841508380233153,105.81396400522813
49,1000,20.0,3.0,0.525,0.1,0.1,0.028599318060682142,107.29542355077038
50,1000,20.0,3.0,0.6,0.1,0.1,0.018782778530358077,86.2604010747105
51,1000,20.0,3.0,0.6749999999999999,0.1,0.1,0.016781813375880347,91.57632718698305
52,1000,20.0,3.0,0.75,0.1,0.1,0.018873828091604223,88.01389355253725
53,1000,20.0,3.0,0.825,0.1,0.1,0.022821001929263996,80.89858640517876
54,1000,20.0,3.0,0.8999999999999999,0.1,0.1,0.01776142365831339,74.58685502953495
55,1000,20.0,3.0,0.975,0.1,0.1,0.022582174189703368,68.02690364194312
56,1000,20.0,3.0,1.05,0.1,0.1,0.02215636656466152,64.92765109438243
57,1000,20.0,3.0,1.125,0.1,0.1,0.021212326124640805,58.35655678921131
58,1000,20.0,3.0,1.2,0.1,0.1,0.022568984581146027,55.801068330131386
59,1000,20.0,3.0,1.275,0.1,0.1,0.02368073397455572,46.333753022473616
60,1000,20.0,3.0,1.3499999999999999,0.1,0.1,0.022356601265147238,47.229793081993265
61,1000,20.0,3.0,1.425,0.1,0.1,0.022926972844130256,40.87010244172543
62,1000,20.0,3.0,1.5,0.1,0.1,0.021777972719710385,34.97270549190787
63,1000,25.0,3.0,0.0,0.1,0.1,0.05509274436129986,0.0
64,1000,25.0,3.0,0.075,0.1,0.1,0.03989431734433201,0.0
65,1000,25.0,3.0,0.15,0.1,0.1,0.14643647816864142,0.0
66,1000,25.0,3.0,0.22499999999999998,0.1,0.1,0.13126297265593054,0.0
67,1000,25.0,3.0,0.3,0.1,0.1,0.09677193554224128,0.0
68,1000,25.0,3.0,0.375,0.1,0.1,0.10538920794041631,75.6573465246129
69,1000,25.0,3.0,0.44999999999999996,0.1,0.1,0.03867217702964826,185.53285003666724
70,1000,25.0,3.0,0.525,0.1,0.1,0.029407546421854325,164.0981516757806
71,1000,25.0,3.0,0.6,0.1,0.1,0.019170267670051123,132.87366981385765
72,1000,25.0,3.0,0.6749999999999999,0.1,0.1,0.018123874663505367,139.0682514752626
73,1000,25.0,3.0,0.75,0.1,0.1,0.017103377648247535,127.09306730099746
74,1000,25.0,3.0,0.825,0.1,0.1,0.017065524272878482,122.73916413564622
75,1000,25.0,3.0,0.8999999999999999,0.1,0.1,0.016734894653041562,121.41201333182936
76,1000,25.0,3.0,0.975,0.1,0.1,0.01777174136463908,115.17202457740795
77,1000,25.0,3.0,1.05,0.1,0.1,0.016038547998431508,118.7235018051501
78,1000,25.0,3.0,1.125,0.1,0.1,0.01634337380019388,108.56213860295462
79,1000,25.0,3.0,1.2,0.1,0.1,0.019397252288915735,100.6158710588797
80,1000,25.0,3.0,1.275,0.1,0.1,0.01753015575981182,94.32408761377177
81,1000,25.0,3.0,1.3499999999999999,0.1,0.1,0.02193413581195864,90.11066660806426
82,1000,25.0,3.0,1.425,0.1,0.1,0.02059860257419367,80.4173846091198
83,1000,25.0,3.0,1.5,0.1,0.1,0.019017635256225327,75.24155252268554
84,5000,10.0,3.0,0.0,0.1,0.1,0.1440591208602576,0.0
85,5000,10.0,3.0,0.075,0.1,0.1,0.11750241777009603,0.0
86,5000,10.0,3.0,0.15,0.1,0.1,0.14095722540522493,0.0
87,5000,10.0,3.0,0.22499999999999998,0.1,0.1,0.13626164114850828,0.0
88,5000,10.0,3.0,0.3,0.1,0.1,0.13713864362665096,0.0
89,5000,10.0,3.0,0.375,0.1,0.1,0.09909056157848432,0.0
