,N,p,k,I,f,dt,om_max,life
0,1000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
1,1000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
2,1000,25.0,3.0,0.5,0.025,0.1,0.0,0.0
3,1000,25.0,3.0,0.5,0.0325,0.1,0.02666666666666667,29.555911182236457
4,1000,25.0,3.0,0.5,0.04,0.1,0.02666666666666667,73.91478295659135
5,1000,25.0,3.0,0.5,0.0475,0.1,0.02666666666666667,109.02180436087218
6,1000,25.0,3.0,0.5,0.055,0.1,0.05333333333333334,140.62812562512505
7,1000,25.0,3.0,0.5,0.0625,0.1,0.05333333333333334,161.73234646929387
8,1000,25.0,3.0,0.5,0.06999999999999999,0.1,0.05333333333333334,191.63832766553313
9,1000,25.0,3.0,0.5,0.0775,0.1,0.05333333333333334,230.49609921984396
10,1000,25.0,3.0,0.5,0.08499999999999999,0.1,0.08,252.1004200840168
11,1000,25.0,3.0,0.5,0.09249999999999999,0.1,0.08,275.05501100220044
12,1000,25.0,3.0,0.5,0.09999999999999999,0.1,0.08,281.30626125225047
13,1000,25.0,3.0,0.5,0.1075,0.1,0.08,33.756751350270065
14,1000,25.0,3.0,0.5,0.11499999999999999,0.1,0.0,0.0
15,1000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
16,1000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
17,1000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
18,1000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
19,1000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
20,1000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
21,1000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
22,1000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
23,1000,25.0,3.0,0.75,0.025,0.1,0.0,0.0
24,1000,25.0,3.0,0.75,0.0325,0.1,0.0,0.0
25,1000,25.0,3.0,0.75,0.04,0.1,0.02666666666666667,55.11102220444087
26,1000,25.0,3.0,0.75,0.0475,0.1,0.02666666666666667,96.71934386877373
27,1000,25.0,3.0,0.75,0.055,0.1,0.05333333333333334,129.375875175035
28,1000,25.0,3.0,0.75,0.0625,0.1,0.05333333333333334,161.88237647529508
29,1000,25.0,3.0,0.75,0.06999999999999999,0.1,0.05333333333333334,178.6857371474295
30,1000,25.0,3.0,0.75,0.0775,0.1,0.05333333333333334,218.94378875775155
31,1000,25.0,3.0,0.75,0.08499999999999999,0.1,0.08,231.14622924584916
32,1000,25.0,3.0,0.75,0.09249999999999999,0.1,0.08,258.90178035607124
33,1000,25.0,3.0,0.75,0.09999999999999999,0.1,0.08,265.85317063412685
34,1000,25.0,3.0,0.75,0.1075,0.1,0.08,182.43648729745948
35,1000,25.0,3.0,0.75,0.11499999999999999,0.1,0.08,30.756151230246047
36,1000,25.0,3.0,0.75,0.12249999999999998,0.1,0.08,12.302460492098419
37,1000,25.0,3.0,0.75,0.13,0.1,0.08,5.851170234046805
38,1000,25.0,3.0,0.75,0.1375,0.1,0.02666666666666667,1.20024004800959
39,1000,25.0,3.0,0.75,0.14500000000000002,0.1,0.0,0.0
40,1000,25.0,3.0,0.75,0.1525,0.1,0.0,0.0
41,1000,25.0,3.0,0.75,0.16,0.1,0.0,0.0
42,1000,25.0,3.0,1.0,0.01,0.1,0.0,0.0
43,1000,25.0,3.0,1.0,0.0175,0.1,0.0,0.0
44,1000,25.0,3.0,1.0,0.025,0.1,0.0,0.0
45,1000,25.0,3.0,1.0,0.0325,0.1,0.0,0.0
46,1000,25.0,3.0,1.0,0.04,0.1,0.02666666666666667,6.501300260052005
47,1000,25.0,3.0,1.0,0.0475,0.1,0.02666666666666667,53.01060212042408
48,1000,25.0,3.0,1.0,0.055,0.1,0.02666666666666667,82.31646329265854
49,1000,25.0,3.0,1.0,0.0625,0.1,0.05333333333333334,111.27225445089019
50,1000,25.0,3.0,1.0,0.06999999999999999,0.1,0.05333333333333334,132.376475295059
51,1000,25.0,3.0,1.0,0.0775,0.1,0.05333333333333334,143.3286657331466
52,1000,25.0,3.0,1.0,0.08499999999999999,0.1,0.05333333333333334,163.48269653930785
53,1000,25.0,3.0,1.0,0.09249999999999999,0.1,0.05333333333333334,175.93518703740745
54,1000,25.0,3.0,1.0,0.09999999999999999,0.1,0.08,172.2344468893779
55,1000,25.0,3.0,1.0,0.1075,0.1,0.08,145.62912582516503
56,1000,25.0,3.0,1.0,0.11499999999999999,0.1,0.08,56.81136227245449
57,1000,25.0,3.0,1.0,0.12249999999999998,0.1,0.05333333333333334,15.953190638127637
58,1000,25.0,3.0,1.0,0.13,0.1,0.05333333333333334,6.301260252050412
59,1000,25.0,3.0,1.0,0.1375,0.1,0.02666666666666667,2.200440088017615
60,1000,25.0,3.0,1.0,0.14500000000000002,0.1,0.02666666666666667,0.0
61,1000,25.0,3.0,1.0,0.1525,0.1,0.0,0.0
62,1000,25.0,3.0,1.0,0.16,0.1,0.0,0.0
63,5000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
64,5000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
65,5000,25.0,3.0,0.5,0.025,0.1,0.0,0.0
66,5000,25.0,3.0,0.5,0.0325,0.1,0.02666666666666667,27.705541108221638
67,5000,25.0,3.0,0.5,0.04,0.1,0.02666666666666667,70.9141828365673
68,5000,25.0,3.0,0.5,0.0475,0.1,0.02666666666666667,100.32006401280256
69,5000,25.0,3.0,0.5,0.055,0.1,0.05333333333333334,141.92838567713545
70,5000,25.0,3.0,0.5,0.0625,0.1,0.05333333333333334,158.33166633326664
71,5000,25.0,3.0,0.5,0.06999999999999999,0.1,0.05333333333333334,190.73814762952588
72,5000,25.0,3.0,0.5,0.0775,0.1,0.05333333333333334,207.64152830566115
73,5000,25.0,3.0,0.5,0.08499999999999999,0.1,0.08,250.55011002200445
74,5000,25.0,3.0,0.5,0.09249999999999999,0.1,0.08,279.95599119823964
75,5000,25.0,3.0,0.5,0.09999999999999999,0.1,0.08,309.9619923984797
76,5000,25.0,3.0,0.5,0.1075,0.1,0.08,75.2150430086017
77,5000,25.0,3.0,0.5,0.11499999999999999,0.1,0.0,0.0
78,5000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
79,5000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
80,5000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
81,5000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
82,5000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
83,5000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
84,5000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
85,5000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
86,5000,25.0,3.0,0.75,0.025,0.1,0.0,0.0
87,5000,25.0,3.0,0.75,0.0325,0.1,0.0,0.0
88,5000,25.0,3.0,0.75,0.04,0.1,0.02666666666666667,55.01100220044009
89,5000,25.0,3.0,0.75,0.0475,0.1,0.02666666666666667,91.11822364472891
90,5000,25.0,3.0,0.75,0.055,0.1,0.05333333333333334,131.92638527705537
91,5000,25.0,3.0,0.75,0.0625,0.1,0.05333333333333334,174.73494698939788
92,5000,25.0,3.0,0.75,0.06999999999999999,0.1,0.05333333333333334,189.6379275855171
93,5000,25.0,3.0,0.75,0.0775,0.1,0.05333333333333334,198.03960792158432
94,5000,25.0,3.0,0.75,0.08499999999999999,0.1,0.08,229.04580916183238
95,5000,25.0,3.0,0.75,0.09249999999999999,0.1,0.08,255.3510702140428
