,N,p,k,I,f,dt,om_max,life
0,1000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
1,1000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
2,1000,25.0,3.0,0.5,0.025,0.1,0.0,0.0
3,1000,25.0,3.0,0.5,0.0325,0.1,0.01,25.25252525252526
4,1000,25.0,3.0,0.5,0.04,0.1,0.03,70.70707070707067
5,1000,25.0,3.0,0.5,0.0475,0.1,0.03,106.06060606060606
6,1000,25.0,3.0,0.5,0.055,0.1,0.04,141.4141414141414
7,1000,25.0,3.0,0.5,0.0625,0.1,0.04,161.6161616161616
8,1000,25.0,3.0,0.5,0.06999999999999999,0.1,0.05,191.91919191919192
9,1000,25.0,3.0,0.5,0.0775,0.1,0.055,232.32323232323233
10,1000,25.0,3.0,0.5,0.08499999999999999,0.1,0.06,252.52525252525254
11,1000,25.0,3.0,0.5,0.09249999999999999,0.1,0.07,275.25252525252523
12,1000,25.0,3.0,0.5,0.09999999999999999,0.1,0.065,282.8282828282828
13,1000,25.0,3.0,0.5,0.1075,0.1,0.04,30.30303030303031
14,1000,25.0,3.0,0.5,0.11499999999999999,0.1,0.0,0.0
15,1000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
16,1000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
17,1000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
18,1000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
19,1000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
20,1000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
21,1000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
22,1000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
23,1000,25.0,3.0,0.75,0.025,0.1,0.0,0.0
24,1000,25.0,3.0,0.75,0.0325,0.1,0.0,0.0
25,1000,25.0,3.0,0.75,0.04,0.1,0.02,55.55555555555554
26,1000,25.0,3.0,0.75,0.0475,0.1,0.03,95.95959595959596
27,1000,25.0,3.0,0.75,0.055,0.1,0.04,126.26262626262627
28,1000,25.0,3.0,0.75,0.0625,0.1,0.04,161.6161616161616
29,1000,25.0,3.0,0.75,0.06999999999999999,0.1,0.05,176.7676767676768
30,1000,25.0,3.0,0.75,0.0775,0.1,0.05,217.17171717171715
31,1000,25.0,3.0,0.75,0.08499999999999999,0.1,0.06,232.32323232323233
32,1000,25.0,3.0,0.75,0.09249999999999999,0.1,0.06,260.10101010101005
33,1000,25.0,3.0,0.75,0.09999999999999999,0.1,0.06,265.1515151515151
34,1000,25.0,3.0,0.75,0.1075,0.1,0.06,181.8181818181818
35,1000,25.0,3.0,0.75,0.11499999999999999,0.1,0.07,30.30303030303031
36,1000,25.0,3.0,0.75,0.12249999999999998,0.1,0.07,10.101010101010104
37,1000,25.0,3.0,0.75,0.13,0.1,0.03,5.050505050505052
38,1000,25.0,3.0,0.75,0.1375,0.1,0.0,0.0
39,1000,25.0,3.0,0.75,0.14500000000000002,0.1,0.0,0.0
40,1000,25.0,3.0,0.75,0.1525,0.1,0.0,0.0
41,1000,25.0,3.0,0.75,0.16,0.1,0.0,0.0
42,1000,25.0,3.0,1.0,0.01,0.1,0.0,0.0
43,1000,25.0,3.0,1.0,0.0175,0.1,0.0,0.0
44,1000,25.0,3.0,1.0,0.025,0.1,0.0,0.0
45,1000,25.0,3.0,1.0,0.0325,0.1,0.0,0.0
46,1000,25.0,3.0,1.0,0.04,0.1,0.0,5.050505050505052
47,1000,25.0,3.0,1.0,0.0475,0.1,0.03,50.50505050505052
48,1000,25.0,3.0,1.0,0.055,0.1,0.03,80.80808080808083
49,1000,25.0,3.0,1.0,0.0625,0.1,0.04,111.11111111111109
50,1000,25.0,3.0,1.0,0.06999999999999999,0.1,0.04,131.3131313131313
51,1000,25.0,3.0,1.0,0.0775,0.1,0.04,141.4141414141414
52,1000,25.0,3.0,1.0,0.08499999999999999,0.1,0.05,161.6161616161616
53,1000,25.0,3.0,1.0,0.09249999999999999,0.1,0.05,176.7676767676768
54,1000,25.0,3.0,1.0,0.09999999999999999,0.1,0.05,171.7171717171717
55,1000,25.0,3.0,1.0,0.1075,0.1,0.05,146.46464646464642
56,1000,25.0,3.0,1.0,0.11499999999999999,0.1,0.05,55.55555555555554
57,1000,25.0,3.0,1.0,0.12249999999999998,0.1,0.04,15.151515151515156
58,1000,25.0,3.0,1.0,0.13,0.1,0.02,5.050505050505052
59,1000,25.0,3.0,1.0,0.1375,0.1,0.0,0.0
60,1000,25.0,3.0,1.0,0.14500000000000002,0.1,0.0,0.0
61,1000,25.0,3.0,1.0,0.1525,0.1,0.0,0.0
62,1000,25.0,3.0,1.0,0.16,0.1,0.0,0.0
63,5000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
64,5000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
65,5000,25.0,3.0,0.5,0.025,0.1,0.0,0.0
66,5000,25.0,3.0,0.5,0.0325,0.1,0.01,25.25252525252526
67,5000,25.0,3.0,0.5,0.04,0.1,0.02,70.70707070707067
68,5000,25.0,3.0,0.5,0.0475,0.1,0.03,101.01010101010104
69,5000,25.0,3.0,0.5,0.055,0.1,0.04,141.4141414141414
70,5000,25.0,3.0,0.5,0.0625,0.1,0.04,156.56565656565658
71,5000,25.0,3.0,0.5,0.06999999999999999,0.1,0.05,191.91919191919192
72,5000,25.0,3.0,0.5,0.0775,0.1,0.05,207.07070707070704
73,5000,25.0,3.0,0.5,0.08499999999999999,0.1,0.06,252.52525252525254
74,5000,25.0,3.0,0.5,0.09249999999999999,0.1,0.07,277.77777777777777
75,5000,25.0,3.0,0.5,0.09999999999999999,0.1,0.07,308.0808080808081
76,5000,25.0,3.0,0.5,0.1075,0.1,0.01,75.75757575757575
77,5000,25.0,3.0,0.5,0.11499999999999999,0.1,0.0,0.0
78,5000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
79,5000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
80,5000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
81,5000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
82,5000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
83,5000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
84,5000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
85,5000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
86,5000,25.0,3.0,0.75,0.025,0.1,0.0,0.0
87,5000,25.0,3.0,0.75,0.0325,0.1,0.0,0.0
88,5000,25.0,3.0,0.75,0.04,0.1,0.02,55.55555555555554
89,5000,25.0,3.0,0.75,0.0475,0.1,0.03,90.90909090909088
90,5000,25.0,3.0,0.75,0.055,0.1,0.04,131.3131313131313
91,5000,25.0,3.0,0.75,0.0625,0.1,0.04,171.7171717171717
92,5000,25.0,3.0,0.75,0.06999999999999999,0.1,0.05,186.86868686868684
93,5000,25.0,3.0,0.75,0.0775,0.1,0.05,196.969696969697
94,5000,25.0,3.0,0.75,0.08499999999999999,0.1,0.06,227.27272727272725
95,5000,25.0,3.0,0.75,0.09249999999999999,0.1,0.06,257.57575757575756
96,5000,25.0,3.0,0.75,0.09999999999999999,0.1,0.06,262.6262626262626
97,5000,25.0,3.0,0.75,0.1075,0.1,0.06,257.57575757575756
98,5000,25.0,3.0,0.75,0.11499999999999999,0.1,0.08,20.202020202020208
99,5000,25.0,3.0,0.75,0.12249999999999998,0.1,0.08,10.101010101010104
100,5000,25.0,3.0,0.75,0.13,0.1,0.0,0.0
