,N,p,k,I,f,dt,om_max,life
0,1000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
1,1000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
2,1000,25.0,3.0,0.5,0.025,0.1,0.00896023114937522,18.37522045212321
3,1000,25.0,3.0,0.5,0.0325,0.1,0.011728875966289883,47.22305850731958
4,1000,25.0,3.0,0.5,0.04,0.1,0.004355803110479954,56.78201776796343
5,1000,25.0,3.0,0.5,0.0475,0.1,0.009948468635611715,74.0596650125657
6,1000,25.0,3.0,0.5,0.055,0.1,0.011400837147311311,79.88707238591766
7,1000,25.0,3.0,0.5,0.0625,0.1,0.006447987677862853,82.86030811194972
8,1000,25.0,3.0,0.5,0.06999999999999999,0.1,0.005470895828204739,88.24273990960027
9,1000,25.0,3.0,0.5,0.0775,0.1,0.012219404051235816,99.72245645726233
10,1000,25.0,3.0,0.5,0.08499999999999999,0.1,0.019110864320112202,112.42177078416793
11,1000,25.0,3.0,0.5,0.09249999999999999,0.1,0.026010631509199397,138.82252089401004
12,1000,25.0,3.0,0.5,0.09999999999999999,0.1,0.03494408093894171,174.4584128290742
13,1000,25.0,3.0,0.5,0.1075,0.1,0.045705817785458486,187.81395218697696
14,1000,25.0,3.0,0.5,0.11499999999999999,0.1,0.045844204061329275,112.03876856109751
15,1000,25.0,3.0,0.5,0.12249999999999998,0.1,0.024048326812334354,38.21083817282713
16,1000,25.0,3.0,0.5,0.13,0.1,0.016222367080809052,4.141257013219384
17,1000,25.0,3.0,0.5,0.1375,0.1,0.0013300124481435112,3.5265481579562787
18,1000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
19,1000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
20,1000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
21,1000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
22,1000,25.0,3.0,0.75,0.0175,0.1,0.0026500559983962326,1.7632740789781391
23,1000,25.0,3.0,0.75,0.025,0.1,0.006683147331709941,5.080711110586573
24,1000,25.0,3.0,0.75,0.0325,0.1,0.012963698093893748,24.98679346960318
25,1000,25.0,3.0,0.75,0.04,0.1,0.005373266053197958,54.879837333757585
26,1000,25.0,3.0,0.75,0.0475,0.1,0.005665779998070513,57.04804165007186
27,1000,25.0,3.0,0.75,0.055,0.1,0.012066279694157434,60.73179439137263
28,1000,25.0,3.0,0.75,0.0625,0.1,0.0,73.8054767367287
29,1000,25.0,3.0,0.75,0.06999999999999999,0.1,0.0,85.08700901016401
30,1000,25.0,3.0,0.75,0.0775,0.1,0.006907755133519017,93.51036508737657
31,1000,25.0,3.0,0.75,0.08499999999999999,0.1,0.012188498771159951,95.7026759298484
32,1000,25.0,3.0,0.75,0.09249999999999999,0.1,0.006447987677862851,103.90853804381086
33,1000,25.0,3.0,0.75,0.09999999999999999,0.1,0.0054708958282047365,124.14842691036567
34,1000,25.0,3.0,0.75,0.1075,0.1,0.011602386336837715,162.32688513672807
35,1000,25.0,3.0,0.75,0.11499999999999999,0.1,0.02516563000016513,140.67229278146937
36,1000,25.0,3.0,0.75,0.12249999999999998,0.1,0.029717130990666314,106.48901277484582
37,1000,25.0,3.0,0.75,0.13,0.1,0.037213390283896905,42.15936063768007
38,1000,25.0,3.0,0.75,0.1375,0.1,0.040878109020691784,35.029478000083316
39,1000,25.0,3.0,0.75,0.14500000000000002,0.1,0.035039387624506306,26.81616765877032
40,1000,25.0,3.0,0.75,0.1525,0.1,0.023049987583558945,8.215038890921363
41,1000,25.0,3.0,0.75,0.16,0.1,0.010842363862798706,4.315804971497407
42,1000,25.0,3.0,1.0,0.01,0.1,0.0,0.0
43,1000,25.0,3.0,1.0,0.0175,0.1,0.0,0.0
44,1000,25.0,3.0,1.0,0.025,0.1,0.0018785748894826909,0.0
45,1000,25.0,3.0,1.0,0.0325,0.1,0.007122809366803308,10.931028690702796
46,1000,25.0,3.0,1.0,0.04,0.1,0.013348461040183193,33.19060997966317
47,1000,25.0,3.0,1.0,0.0475,0.1,0.006232297834020783,43.163814711257494
48,1000,25.0,3.0,1.0,0.055,0.1,0.011769987558291084,50.389359365654116
49,1000,25.0,3.0,1.0,0.0625,0.1,0.00976858942530999,63.625127851911124
50,1000,25.0,3.0,1.0,0.06999999999999999,0.1,0.0032510745343820907,73.91136773095184
51,1000,25.0,3.0,1.0,0.0775,0.1,0.001330012448143511,89.16787583539727
52,1000,25.0,3.0,1.0,0.08499999999999999,0.1,0.00771846277003298,86.5359049723415
53,1000,25.0,3.0,1.0,0.09249999999999999,0.1,0.0132684118137211,101.9268632467261
54,1000,25.0,3.0,1.0,0.09999999999999999,0.1,0.013090176192301592,120.99938201815428
55,1000,25.0,3.0,1.0,0.1075,0.1,0.015406032206683984,127.67546126846906
56,1000,25.0,3.0,1.0,0.11499999999999999,0.1,0.021297604933107072,117.07183126253402
57,1000,25.0,3.0,1.0,0.12249999999999998,0.1,0.028069218793181767,95.9674207921792
58,1000,25.0,3.0,1.0,0.13,0.1,0.033078724725656906,69.09224523597923
59,1000,25.0,3.0,1.0,0.1375,0.1,0.03465525180940279,45.867720810981844
60,1000,25.0,3.0,1.0,0.14500000000000002,0.1,0.032373683338476913,37.48170157746912
61,1000,25.0,3.0,1.0,0.1525,0.1,0.027996438826736657,25.785217522208868
62,1000,25.0,3.0,1.0,0.16,0.1,0.018797016964756337,19.29209244115272
63,5000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
64,5000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
65,5000,25.0,3.0,0.5,0.025,0.1,0.011070633340460816,1.4744298184877331
66,5000,25.0,3.0,0.5,0.0325,0.1,0.0064614891279674656,16.144090110721237
67,5000,25.0,3.0,0.5,0.04,0.1,0.0,20.120550449302403
68,5000,25.0,3.0,0.5,0.0475,0.1,0.0,18.114096918805203
69,5000,25.0,3.0,0.5,0.055,0.1,0.0077849894416152305,36.80631519733375
70,5000,25.0,3.0,0.5,0.0625,0.1,0.0,32.53857237047088
71,5000,25.0,3.0,0.5,0.06999999999999999,0.1,0.0,39.04873651422722
72,5000,25.0,3.0,0.5,0.0775,0.1,0.004642070825485275,31.114778026776637
73,5000,25.0,3.0,0.5,0.08499999999999999,0.1,0.00778498944161523,38.96761774720298
74,5000,25.0,3.0,0.5,0.09249999999999999,0.1,0.0,35.74288749595502
75,5000,25.0,3.0,0.5,0.09999999999999999,0.1,0.013926212476455828,69.18028618927303
76,5000,25.0,3.0,0.5,0.1075,0.1,0.04545319863324545,186.54473529269404
77,5000,25.0,3.0,0.5,0.11499999999999999,0.1,0.04164949140962149,28.16208127808841
78,5000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
79,5000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
80,5000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
81,5000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
82,5000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
83,5000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
84,5000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
85,5000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
86,5000,25.0,3.0,0.75,0.025,0.1,0.009709587750058922,3.7365153424834143
87,5000,25.0,3.0,0.75,0.0325,0.1,0.012445165924251671,9.963771553005929
88,5000,25.0,3.0,0.75,0.04,0.1,0.0,17.313654285468186
89,5000,25.0,3.0,0.75,0.0475,0.1,0.0,19.07030564601146
90,5000,25.0,3.0,0.75,0.055,0.1,0.0,20.24263212067016
