,N,p,k,I,f,dt,om_max,life
0,1000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
1,1000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
2,1000,25.0,3.0,0.5,0.025,0.1,0.00896023114937522,18.686160638054066
3,1000,25.0,3.0,0.5,0.0325,0.1,0.011618344042455233,47.13416837665873
4,1000,25.0,3.0,0.5,0.04,0.1,0.004543666487547274,56.20304495366568
5,1000,25.0,3.0,0.5,0.0475,0.1,0.009762491185054071,73.36018312142322
6,1000,25.0,3.0,0.5,0.055,0.1,0.011400837147311304,79.32583770621422
7,1000,25.0,3.0,0.5,0.0625,0.1,0.006326085250656852,82.31327129023201
8,1000,25.0,3.0,0.5,0.06999999999999999,0.1,0.005635724668448071,87.87901689733329
9,1000,25.0,3.0,0.5,0.0775,0.1,0.01195019502775892,98.96525013841955
10,1000,25.0,3.0,0.5,0.08499999999999999,0.1,0.019103360967850317,112.02226929532726
11,1000,25.0,3.0,0.5,0.09249999999999999,0.1,0.026019533786789454,138.37451142858305
12,1000,25.0,3.0,0.5,0.09999999999999999,0.1,0.03503529577878079,173.93506953007312
13,1000,25.0,3.0,0.5,0.1075,0.1,0.045894934059050596,187.4302756769962
14,1000,25.0,3.0,0.5,0.11499999999999999,0.1,0.04585728863382607,111.76658205322019
15,1000,25.0,3.0,0.5,0.12249999999999998,0.1,0.02304960482056352,38.329293036862886
16,1000,25.0,3.0,0.5,0.13,0.1,0.016265139244042114,4.330256522644216
17,1000,25.0,3.0,0.5,0.1375,0.1,0.0013300124481435112,3.4620498062547367
18,1000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0013300124481435108,0.09977088778832043
19,1000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
20,1000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
21,1000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
22,1000,25.0,3.0,0.75,0.0175,0.1,0.0026500559983962326,1.7682298536079974
23,1000,25.0,3.0,0.75,0.025,0.1,0.006907755133519013,5.2783623136429485
24,1000,25.0,3.0,0.75,0.0325,0.1,0.01297985139356197,25.775533052985647
25,1000,25.0,3.0,0.75,0.04,0.1,0.005373266053197958,54.40998310328772
26,1000,25.0,3.0,0.75,0.0475,0.1,0.005805373935158812,56.60529895346421
27,1000,25.0,3.0,0.75,0.055,0.1,0.01206627969415743,59.9088301788154
28,1000,25.0,3.0,0.75,0.0625,0.1,0.0013300124481435108,73.30005607219947
29,1000,25.0,3.0,0.75,0.06999999999999999,0.1,0.0,84.26088204553966
30,1000,25.0,3.0,0.75,0.0775,0.1,0.007227021897562272,93.12375077213879
31,1000,25.0,3.0,0.75,0.08499999999999999,0.1,0.012275592139581789,94.74945791602511
32,1000,25.0,3.0,0.75,0.09249999999999999,0.1,0.006683147331709939,103.94145159672769
33,1000,25.0,3.0,0.75,0.09999999999999999,0.1,0.0056247556402047654,123.7615070787364
34,1000,25.0,3.0,0.75,0.1075,0.1,0.013798257246861102,161.0117482578705
35,1000,25.0,3.0,0.75,0.11499999999999999,0.1,0.02403695115259948,139.57698375954874
36,1000,25.0,3.0,0.75,0.12249999999999998,0.1,0.031176774192893324,106.32527318877544
37,1000,25.0,3.0,0.75,0.13,0.1,0.03676953447598137,43.018311214552426
38,1000,25.0,3.0,0.75,0.1375,0.1,0.04102186695982308,35.15946103690898
39,1000,25.0,3.0,0.75,0.14500000000000002,0.1,0.037920524364140895,27.03499283065418
40,1000,25.0,3.0,0.75,0.1525,0.1,0.028634867536256003,8.67364171338274
41,1000,25.0,3.0,0.75,0.16,0.1,0.021033852812751663,3.564184151757697
42,1000,25.0,3.0,1.0,0.01,0.1,0.0,0.0
43,1000,25.0,3.0,1.0,0.0175,0.1,0.0,0.0
44,1000,25.0,3.0,1.0,0.025,0.1,0.0022978971929863653,0.14347958158299073
45,1000,25.0,3.0,1.0,0.0325,0.1,0.007122809366803308,11.435946648495898
46,1000,25.0,3.0,1.0,0.04,0.1,0.013347304334945454,33.75889885099691
47,1000,25.0,3.0,1.0,0.0475,0.1,0.005970573826694363,42.78073159230473
48,1000,25.0,3.0,1.0,0.055,0.1,0.011694788810176502,50.13868721692344
49,1000,25.0,3.0,1.0,0.0625,0.1,0.009830036901966929,62.320796617797036
50,1000,25.0,3.0,1.0,0.06999999999999999,0.1,0.0026600248962870216,72.63608656992928
51,1000,25.0,3.0,1.0,0.0775,0.1,0.0018785748894826915,88.45693895486039
52,1000,25.0,3.0,1.0,0.08499999999999999,0.1,0.008080329089172356,85.3013574942278
53,1000,25.0,3.0,1.0,0.09249999999999999,0.1,0.013230956448483386,100.66066490193688
54,1000,25.0,3.0,1.0,0.09999999999999999,0.1,0.013531119468514296,119.30415097083113
55,1000,25.0,3.0,1.0,0.1075,0.1,0.014903031904108577,126.61507083114624
56,1000,25.0,3.0,1.0,0.11499999999999999,0.1,0.021463488848592404,116.1299780699856
57,1000,25.0,3.0,1.0,0.12249999999999998,0.1,0.026514539004531417,95.40209965095389
58,1000,25.0,3.0,1.0,0.13,0.1,0.032021023987919436,68.66352316436146
59,1000,25.0,3.0,1.0,0.1375,0.1,0.035222652980604376,45.9003264767096
60,1000,25.0,3.0,1.0,0.14500000000000002,0.1,0.033113312980148524,37.53306099744743
61,1000,25.0,3.0,1.0,0.1525,0.1,0.03010647043706761,24.82169086004828
62,1000,25.0,3.0,1.0,0.16,0.1,0.023657367287284476,19.86366853546837
63,5000,25.0,3.0,0.5,0.01,0.1,0.0,0.0
64,5000,25.0,3.0,0.5,0.0175,0.1,0.0,0.0
65,5000,25.0,3.0,0.5,0.025,0.1,0.01160517706371319,2.269819280281321
66,5000,25.0,3.0,0.5,0.0325,0.1,0.0064614891279674656,15.890938509103416
67,5000,25.0,3.0,0.5,0.04,0.1,0.0,19.730721902678745
68,5000,25.0,3.0,0.5,0.0475,0.1,0.0,18.340482159949133
69,5000,25.0,3.0,0.5,0.055,0.1,0.0077849894416152305,36.517097663784206
70,5000,25.0,3.0,0.5,0.0625,0.1,0.0,31.87765784596057
71,5000,25.0,3.0,0.5,0.06999999999999999,0.1,0.0,38.91959076544831
72,5000,25.0,3.0,0.5,0.0775,0.1,0.004642070825485275,30.74946248140567
73,5000,25.0,3.0,0.5,0.08499999999999999,0.1,0.008838239537061556,38.403359139593015
74,5000,25.0,3.0,0.5,0.09249999999999999,0.1,0.0,35.08921110448586
75,5000,25.0,3.0,0.5,0.09999999999999999,0.1,0.013926212476455828,69.07296510140253
76,5000,25.0,3.0,0.5,0.1075,0.1,0.04615885322058739,185.8057405035923
77,5000,25.0,3.0,0.5,0.11499999999999999,0.1,0.04428253336184326,28.510183675327415
78,5000,25.0,3.0,0.5,0.12249999999999998,0.1,0.0,0.0
79,5000,25.0,3.0,0.5,0.13,0.1,0.0,0.0
80,5000,25.0,3.0,0.5,0.1375,0.1,0.0,0.0
81,5000,25.0,3.0,0.5,0.14500000000000002,0.1,0.0,0.0
82,5000,25.0,3.0,0.5,0.1525,0.1,0.0,0.0
83,5000,25.0,3.0,0.5,0.16,0.1,0.0,0.0
84,5000,25.0,3.0,0.75,0.01,0.1,0.0,0.0
85,5000,25.0,3.0,0.75,0.0175,0.1,0.0,0.0
86,5000,25.0,3.0,0.75,0.025,0.1,0.009709587750058922,3.913102903993189
87,5000,25.0,3.0,0.75,0.0325,0.1,0.012060453783110546,10.987713144106204
88,5000,25.0,3.0,0.75,0.04,0.1,0.0,17.104568868330297
89,5000,25.0,3.0,0.75,0.0475,0.1,0.0,19.206278561555767
