,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
1,1000,10.0,3.0,0.75,0.1,0.1,0.02666666666666667,0.0
2,1000,10.0,3.0,1.0,0.1,0.1,0.0,0.0
3,1000,11.0,3.0,0.5,0.1,0.1,0.0,0.0
4,1000,11.0,3.0,0.75,0.1,0.1,0.05333333333333334,15.151515151515156
5,1000,11.0,3.0,1.0,0.1,0.1,0.0,0.0
6,1000,12.0,3.0,0.5,0.1,0.1,0.0,0.0
7,1000,12.0,3.0,0.75,0.1,0.1,0.05333333333333334,25.25252525252526
8,1000,12.0,3.0,1.0,0.1,0.1,0.02666666666666667,0.0
9,1000,13.0,3.0,0.5,0.1,0.1,0.0,0.0
10,1000,13.0,3.0,0.75,0.1,0.1,0.05333333333333334,35.353535353535335
11,1000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,10.101010101010104
12,1000,14.0,3.0,0.5,0.1,0.1,0.0,0.0
13,1000,14.0,3.0,0.75,0.1,0.1,0.08,45.45454545454544
14,1000,14.0,3.0,1.0,0.1,0.1,0.05333333333333334,20.202020202020208
15,1000,15.0,3.0,0.5,0.1,0.1,0.05333333333333334,40.404040404040416
16,1000,15.0,3.0,0.75,0.1,0.1,0.08,60.60606060606062
17,1000,15.0,3.0,1.0,0.1,0.1,0.05333333333333334,25.25252525252526
18,1000,16.0,3.0,0.5,0.1,0.1,0.08,60.60606060606062
19,1000,16.0,3.0,0.75,0.1,0.1,0.08,70.70707070707067
20,1000,16.0,3.0,1.0,0.1,0.1,0.05333333333333334,40.404040404040416
21,1000,17.0,3.0,0.5,0.1,0.1,0.08,65.65656565656565
22,1000,17.0,3.0,0.75,0.1,0.1,0.08,80.80808080808083
23,1000,17.0,3.0,1.0,0.1,0.1,0.05333333333333334,50.50505050505052
24,1000,18.0,3.0,0.5,0.1,0.1,0.08,95.95959595959596
25,1000,18.0,3.0,0.75,0.1,0.1,0.08,95.95959595959596
26,1000,18.0,3.0,1.0,0.1,0.1,0.05333333333333334,55.55555555555554
27,1000,19.0,3.0,0.5,0.1,0.1,0.08,108.58585858585857
28,1000,19.0,3.0,0.75,0.1,0.1,0.08,116.16161616161617
29,1000,19.0,3.0,1.0,0.1,0.1,0.05333333333333334,70.70707070707067
30,1000,20.0,3.0,0.5,0.1,0.1,0.08,133.83838383838383
31,1000,20.0,3.0,0.75,0.1,0.1,0.08,133.83838383838383
32,1000,20.0,3.0,1.0,0.1,0.1,0.05333333333333334,83.33333333333334
33,1000,21.0,3.0,0.5,0.1,0.1,0.08,161.6161616161616
34,1000,21.0,3.0,0.75,0.1,0.1,0.08,156.56565656565658
35,1000,21.0,3.0,1.0,0.1,0.1,0.05333333333333334,95.95959595959596
36,1000,22.0,3.0,0.5,0.1,0.1,0.08,202.02020202020202
37,1000,22.0,3.0,0.75,0.1,0.1,0.08,176.7676767676768
38,1000,22.0,3.0,1.0,0.1,0.1,0.08,111.11111111111109
39,1000,23.0,3.0,0.5,0.1,0.1,0.08,222.22222222222217
40,1000,23.0,3.0,0.75,0.1,0.1,0.08,196.969696969697
41,1000,23.0,3.0,1.0,0.1,0.1,0.08,136.36363636363637
42,1000,24.0,3.0,0.5,0.1,0.1,0.08,242.42424242424238
43,1000,24.0,3.0,0.75,0.1,0.1,0.08,227.27272727272725
44,1000,24.0,3.0,1.0,0.1,0.1,0.08,146.46464646464642
45,1000,25.0,3.0,0.5,0.1,0.1,0.08,282.8282828282828
46,1000,25.0,3.0,0.75,0.1,0.1,0.08,272.7272727272727
47,1000,25.0,3.0,1.0,0.1,0.1,0.08,176.7676767676768
48,1000,26.0,3.0,0.5,0.1,0.1,0.08,308.0808080808081
49,1000,26.0,3.0,0.75,0.1,0.1,0.08,303.030303030303
50,1000,26.0,3.0,1.0,0.1,0.1,0.08,202.02020202020202
51,1000,27.0,3.0,0.5,0.1,0.1,0.08,353.5353535353536
52,1000,27.0,3.0,0.75,0.1,0.1,0.08,325.7575757575757
53,1000,27.0,3.0,1.0,0.1,0.1,0.08,212.12121212121212
54,1000,28.0,3.0,0.5,0.1,0.1,0.08,373.7373737373737
55,1000,28.0,3.0,0.75,0.1,0.1,0.08,353.5353535353536
56,1000,28.0,3.0,1.0,0.1,0.1,0.08,242.42424242424238
57,1000,29.0,3.0,0.5,0.1,0.1,0.08,404.04040404040404
58,1000,29.0,3.0,0.75,0.1,0.1,0.08,378.78787878787875
59,1000,29.0,3.0,1.0,0.1,0.1,0.08,287.8787878787879
60,1000,30.0,3.0,0.5,0.1,0.1,0.08,454.5454545454545
61,1000,30.0,3.0,0.75,0.1,0.1,0.08,409.090909090909
62,1000,30.0,3.0,1.0,0.1,0.1,0.08,303.030303030303
63,5000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
64,5000,10.0,3.0,0.75,0.1,0.1,0.05333333333333334,10.101010101010104
65,5000,10.0,3.0,1.0,0.1,0.1,0.0,0.0
66,5000,11.0,3.0,0.5,0.1,0.1,0.0,0.0
67,5000,11.0,3.0,0.75,0.1,0.1,0.05333333333333334,20.202020202020208
68,5000,11.0,3.0,1.0,0.1,0.1,0.02666666666666667,0.0
69,5000,12.0,3.0,0.5,0.1,0.1,0.0,0.0
70,5000,12.0,3.0,0.75,0.1,0.1,0.05333333333333334,25.25252525252526
71,5000,12.0,3.0,1.0,0.1,0.1,0.02666666666666667,5.050505050505052
72,5000,13.0,3.0,0.5,0.1,0.1,0.0,0.0
73,5000,13.0,3.0,0.75,0.1,0.1,0.05333333333333334,40.404040404040416
74,5000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,15.151515151515156
75,5000,14.0,3.0,0.5,0.1,0.1,0.0,0.0
76,5000,14.0,3.0,0.75,0.1,0.1,0.08,55.55555555555554
77,5000,14.0,3.0,1.0,0.1,0.1,0.05333333333333334,20.202020202020208
78,5000,15.0,3.0,0.5,0.1,0.1,0.08,70.70707070707067
79,5000,15.0,3.0,0.75,0.1,0.1,0.08,60.60606060606062
80,5000,15.0,3.0,1.0,0.1,0.1,0.05333333333333334,30.30303030303031
81,5000,16.0,3.0,0.5,0.1,0.1,0.0,0.0
82,5000,16.0,3.0,0.75,0.1,0.1,0.08,70.70707070707067
83,5000,16.0,3.0,1.0,0.1,0.1,0.05333333333333334,45.45454545454544
84,5000,17.0,3.0,0.5,0.1,0.1,0.08,111.11111111111109
85,5000,17.0,3.0,0.75,0.1,0.1,0.08,85.85858585858585
