,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
1,1000,10.0,3.0,0.75,0.1,0.1,0.05333333333333334,5.051010202040416
2,1000,10.0,3.0,1.0,0.1,0.1,0.0,0.0
3,1000,11.0,3.0,0.5,0.1,0.1,0.0,0.0
4,1000,11.0,3.0,0.75,0.1,0.1,0.05333333333333334,17.40348069613924
5,1000,11.0,3.0,1.0,0.1,0.1,0.0,0.0
6,1000,12.0,3.0,0.5,0.1,0.1,0.0,0.0
7,1000,12.0,3.0,0.75,0.1,0.1,0.05333333333333334,26.155231046209238
8,1000,12.0,3.0,1.0,0.1,0.1,0.02666666666666667,3.2506501300260027
9,1000,13.0,3.0,0.5,0.1,0.1,0.0,0.0
10,1000,13.0,3.0,0.75,0.1,0.1,0.05333333333333334,37.157431486297256
11,1000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,12.05241048209642
12,1000,14.0,3.0,0.5,0.1,0.1,0.0,0.0
13,1000,14.0,3.0,0.75,0.1,0.1,0.08,48.45969193838768
14,1000,14.0,3.0,1.0,0.1,0.1,0.05333333333333334,22.754550910182047
15,1000,15.0,3.0,0.5,0.1,0.1,0.05333333333333334,41.858371674334876
16,1000,15.0,3.0,0.75,0.1,0.1,0.08,64.0628125625125
17,1000,15.0,3.0,1.0,0.1,0.1,0.05333333333333334,27.755551110222044
18,1000,16.0,3.0,0.5,0.1,0.1,0.08,60.962192438487705
19,1000,16.0,3.0,0.75,0.1,0.1,0.08,74.06481296259253
20,1000,16.0,3.0,1.0,0.1,0.1,0.05333333333333334,42.008401680336064
21,1000,17.0,3.0,0.5,0.1,0.1,0.06666666666666667,65.8631726345269
22,1000,17.0,3.0,0.75,0.1,0.1,0.08,84.46689337867576
23,1000,17.0,3.0,1.0,0.1,0.1,0.05333333333333334,52.16043208641729
24,1000,18.0,3.0,0.5,0.1,0.1,0.08,99.11982396479297
25,1000,18.0,3.0,0.75,0.1,0.1,0.08,98.51970394078816
26,1000,18.0,3.0,1.0,0.1,0.1,0.05333333333333334,59.2118423684737
27,1000,19.0,3.0,0.5,0.1,0.1,0.08,112.4724944988998
28,1000,19.0,3.0,0.75,0.1,0.1,0.08,119.07381476295257
29,1000,19.0,3.0,1.0,0.1,0.1,0.05333333333333334,74.56491298259652
30,1000,20.0,3.0,0.5,0.1,0.1,0.08,135.27705541108222
31,1000,20.0,3.0,0.75,0.1,0.1,0.08,135.27705541108222
32,1000,20.0,3.0,1.0,0.1,0.1,0.05333333333333334,84.51690338067615
33,1000,21.0,3.0,0.5,0.1,0.1,0.08,162.73254650930184
34,1000,21.0,3.0,0.75,0.1,0.1,0.08,157.28145629125828
35,1000,21.0,3.0,1.0,0.1,0.1,0.05333333333333334,97.36947389477893
36,1000,22.0,3.0,0.5,0.1,0.1,0.08,201.49029805961194
37,1000,22.0,3.0,0.75,0.1,0.1,0.08,175.98519703940792
38,1000,22.0,3.0,1.0,0.1,0.1,0.08,110.87217443488697
39,1000,23.0,3.0,0.5,0.1,0.1,0.08,223.69473894778957
40,1000,23.0,3.0,0.75,0.1,0.1,0.08,198.4396879375875
41,1000,23.0,3.0,1.0,0.1,0.1,0.08,138.57771554310864
42,1000,24.0,3.0,0.5,0.1,0.1,0.08,243.5487097419484
43,1000,24.0,3.0,0.75,0.1,0.1,0.08,227.3454690938188
44,1000,24.0,3.0,1.0,0.1,0.1,0.08,147.72954590918187
45,1000,25.0,3.0,0.5,0.1,0.1,0.08,283.95679135827163
46,1000,25.0,3.0,0.75,0.1,0.1,0.08,271.25425085017
47,1000,25.0,3.0,1.0,0.1,0.1,0.08,175.7851570314063
48,1000,26.0,3.0,0.5,0.1,0.1,0.08,308.8617723544709
49,1000,26.0,3.0,0.75,0.1,0.1,0.08,299.75995199039806
50,1000,26.0,3.0,1.0,0.1,0.1,0.08,199.53990798159634
51,1000,27.0,3.0,0.5,0.1,0.1,0.08,353.32066413282655
52,1000,27.0,3.0,0.75,0.1,0.1,0.08,324.06481296259244
53,1000,27.0,3.0,1.0,0.1,0.1,0.08,212.44248849769954
54,1000,28.0,3.0,0.5,0.1,0.1,0.08,371.87437487497505
55,1000,28.0,3.0,0.75,0.1,0.1,0.08,354.37087417483497
56,1000,28.0,3.0,1.0,0.1,0.1,0.08,244.3988797759552
57,1000,29.0,3.0,0.5,0.1,0.1,0.08,398.97979595919185
58,1000,29.0,3.0,0.75,0.1,0.1,0.08,375.3250650130026
59,1000,29.0,3.0,1.0,0.1,0.1,0.08,287.7075415083017
60,1000,30.0,3.0,0.5,0.1,0.1,0.08,452.5905181036207
61,1000,30.0,3.0,0.75,0.1,0.1,0.08,404.73094618923784
62,1000,30.0,3.0,1.0,0.1,0.1,0.08,300.5601120224045
63,5000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
64,5000,10.0,3.0,0.75,0.1,0.1,0.05333333333333334,10.60212042408483
65,5000,10.0,3.0,1.0,0.1,0.1,0.0,0.0
66,5000,11.0,3.0,0.5,0.1,0.1,0.0,0.0
67,5000,11.0,3.0,0.75,0.1,0.1,0.05333333333333334,20.50410082016404
68,5000,11.0,3.0,1.0,0.1,0.1,0.02666666666666667,1.5003000600119947
69,5000,12.0,3.0,0.5,0.1,0.1,0.0,0.0
70,5000,12.0,3.0,0.75,0.1,0.1,0.05333333333333334,26.00520104020805
71,5000,12.0,3.0,1.0,0.1,0.1,0.02666666666666667,7.101420284056815
72,5000,13.0,3.0,0.5,0.1,0.1,0.0,0.0
73,5000,13.0,3.0,0.75,0.1,0.1,0.05333333333333334,42.30846169233848
74,5000,13.0,3.0,1.0,0.1,0.1,0.05333333333333334,12.602520504100823
