,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.5,0.1,0.1,0.017917138827918823,10.250659594580897
1,1000,10.0,3.0,0.75,0.1,0.1,0.026898083143788998,13.419517219675097
2,1000,10.0,3.0,1.0,0.1,0.1,0.018572850602190657,5.7067824102544815
3,1000,11.0,3.0,0.5,0.1,0.1,0.027362460565967126,20.030920996689503
4,1000,11.0,3.0,0.75,0.1,0.1,0.02477440747201598,19.90712184580147
5,1000,11.0,3.0,1.0,0.1,0.1,0.022589423666132463,9.846063507201139
6,1000,12.0,3.0,0.5,0.1,0.1,0.03257425294838401,27.578190610257835
7,1000,12.0,3.0,0.75,0.1,0.1,0.02231801127299105,24.32691532490341
8,1000,12.0,3.0,1.0,0.1,0.1,0.024307499637190384,15.770120600538606
9,1000,13.0,3.0,0.5,0.1,0.1,0.03445591348316741,36.69946610534155
10,1000,13.0,3.0,0.75,0.1,0.1,0.019823304918169953,28.176668799440296
11,1000,13.0,3.0,1.0,0.1,0.1,0.022863209565081012,20.475305308672247
12,1000,14.0,3.0,0.5,0.1,0.1,0.03784926328635536,51.91072826476649
13,1000,14.0,3.0,0.75,0.1,0.1,0.01860453164683088,36.28282664907807
14,1000,14.0,3.0,1.0,0.1,0.1,0.02296745075995926,25.18230937001339
15,1000,15.0,3.0,0.5,0.1,0.1,0.039039796508161674,61.08314732696137
16,1000,15.0,3.0,0.75,0.1,0.1,0.014783113244098773,39.5107461378889
17,1000,15.0,3.0,1.0,0.1,0.1,0.018487505893197073,29.125047412363873
18,1000,16.0,3.0,0.5,0.1,0.1,0.03860259995289297,76.71513902837982
19,1000,16.0,3.0,0.75,0.1,0.1,0.01626852904355706,45.78121373833186
20,1000,16.0,3.0,1.0,0.1,0.1,0.018495736107622857,36.79689358916274
21,1000,17.0,3.0,0.5,0.1,0.1,0.03939753824093053,82.86719900509975
22,1000,17.0,3.0,0.75,0.1,0.1,0.01358821408270642,55.82539708556008
23,1000,17.0,3.0,1.0,0.1,0.1,0.01779497354899367,43.59156179934835
24,1000,18.0,3.0,0.5,0.1,0.1,0.03870411391393462,91.36916141303242
25,1000,18.0,3.0,0.75,0.1,0.1,0.013020062264444562,59.195878420725066
26,1000,18.0,3.0,1.0,0.1,0.1,0.01710792892908946,50.09685071888641
27,1000,19.0,3.0,0.5,0.1,0.1,0.03868136920223543,107.922616334125
28,1000,19.0,3.0,0.75,0.1,0.1,0.011442549079452101,66.81338114386901
29,1000,19.0,3.0,1.0,0.1,0.1,0.01544678122268094,59.73039472617983
30,1000,20.0,3.0,0.5,0.1,0.1,0.03807185888465482,119.28655047113705
31,1000,20.0,3.0,0.75,0.1,0.1,0.010609583281992725,79.75628341642376
32,1000,20.0,3.0,1.0,0.1,0.1,0.015046347039467832,69.57361789685721
33,1000,21.0,3.0,0.5,0.1,0.1,0.03738222426266359,130.8111557326641
34,1000,21.0,3.0,0.75,0.1,0.1,0.007929054925289657,92.4823754473218
35,1000,21.0,3.0,1.0,0.1,0.1,0.015570654975871429,77.33588453495398
36,1000,22.0,3.0,0.5,0.1,0.1,0.03638256896482704,139.6645585370765
37,1000,22.0,3.0,0.75,0.1,0.1,0.007626181140105975,104.18603078381042
38,1000,22.0,3.0,1.0,0.1,0.1,0.015546838817534474,89.07399015215789
39,1000,23.0,3.0,0.5,0.1,0.1,0.03599787730345958,157.7687254737996
40,1000,23.0,3.0,0.75,0.1,0.1,0.006631129877164255,113.78077368329548
41,1000,23.0,3.0,1.0,0.1,0.1,0.014343291423657435,94.15594157380583
42,1000,24.0,3.0,0.5,0.1,0.1,0.035158973215959066,163.16451281052085
43,1000,24.0,3.0,0.75,0.1,0.1,0.004564975635083597,111.78357553761276
44,1000,24.0,3.0,1.0,0.1,0.1,0.01389955009073294,103.91454913249153
45,1000,25.0,3.0,0.5,0.1,0.1,0.03371198032163483,167.38685883663635
46,1000,25.0,3.0,0.75,0.1,0.1,0.0037571497789653813,119.40056239533787
47,1000,25.0,3.0,1.0,0.1,0.1,0.014328521334391681,121.98141162363424
48,1000,26.0,3.0,0.5,0.1,0.1,0.033021865453444474,174.92002342824802
49,1000,26.0,3.0,0.75,0.1,0.1,0.006457216917209049,131.66049681070004
50,1000,26.0,3.0,1.0,0.1,0.1,0.01295399644557724,123.24594235367051
51,1000,27.0,3.0,0.5,0.1,0.1,0.032255191028027895,182.4682093974252
52,1000,27.0,3.0,0.75,0.1,0.1,0.004564975635083598,133.33985391680133
53,1000,27.0,3.0,1.0,0.1,0.1,0.012588554466232735,128.73248807431398
54,1000,28.0,3.0,0.5,0.1,0.1,0.033091724552477435,191.109577941315
55,1000,28.0,3.0,0.75,0.1,0.1,0.006041086184429297,139.6566314008177
56,1000,28.0,3.0,1.0,0.1,0.1,0.011497929602202831,135.68554326911078
57,1000,29.0,3.0,0.5,0.1,0.1,0.032435827319895014,197.84091226207616
58,1000,29.0,3.0,0.75,0.1,0.1,0.0026633395703409206,124.71250292674908
59,1000,29.0,3.0,1.0,0.1,0.1,0.012417259233064377,132.51729212161595
60,1000,30.0,3.0,0.5,0.1,0.1,0.03123445010821164,194.54749355248586
61,1000,30.0,3.0,0.75,0.1,0.1,0.0013300124481435112,129.64671509790313
62,1000,30.0,3.0,1.0,0.1,0.1,0.012212904175693247,139.3476633741025
63,5000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
64,5000,10.0,3.0,0.75,0.1,0.1,0.019796949055831608,6.736817133999825
65,5000,10.0,3.0,1.0,0.1,0.1,0.012390938363794467,1.7572588155271947
66,5000,11.0,3.0,0.5,0.1,0.1,0.0,0.0
67,5000,11.0,3.0,0.75,0.1,0.1,0.010249414863810764,10.64646464089613
68,5000,11.0,3.0,1.0,0.1,0.1,0.02013422969440861,4.719170902335057
69,5000,12.0,3.0,0.5,0.1,0.1,0.02259286857478949,13.487004357141341
70,5000,12.0,3.0,0.75,0.1,0.1,0.0077849894416152305,8.354545346269678
71,5000,12.0,3.0,1.0,0.1,0.1,0.020134229694408607,7.424327884585772
72,5000,13.0,3.0,0.5,0.1,0.1,0.032432265598503165,29.04710186176805
73,5000,13.0,3.0,0.75,0.1,0.1,0.012765694770084506,8.11047084293083
74,5000,13.0,3.0,1.0,0.1,0.1,0.015869840952317443,13.051189343145444
75,5000,14.0,3.0,0.5,0.1,0.1,0.034815531191139566,35.7689830007992
76,5000,14.0,3.0,0.75,0.1,0.1,0.012060453783110542,11.278216430139922
77,5000,14.0,3.0,1.0,0.1,0.1,0.006461489127967465,9.767903044915766
78,5000,15.0,3.0,0.5,0.1,0.1,0.039966315783499455,47.46353945872537
79,5000,15.0,3.0,0.75,0.1,0.1,0.012060453783110547,15.048938211013493
80,5000,15.0,3.0,1.0,0.1,0.1,0.0,10.50362207884703
81,5000,16.0,3.0,0.5,0.1,0.1,0.04060153751380419,58.900154468802924
82,5000,16.0,3.0,0.75,0.1,0.1,0.01044465935734187,15.408818470676003
83,5000,16.0,3.0,1.0,0.1,0.1,0.006461489127967464,14.207536233735144
84,5000,17.0,3.0,0.5,0.1,0.1,0.04015122927285305,70.06584638669725
85,5000,17.0,3.0,0.75,0.1,0.1,0.006461489127967464,25.118354294254857
86,5000,17.0,3.0,1.0,0.1,0.1,0.0,10.593056883543552
87,5000,18.0,3.0,0.5,0.1,0.1,0.029128763250176763,56.27709174130014
88,5000,18.0,3.0,0.75,0.1,0.1,0.006461489127967463,22.156913458549756
89,5000,18.0,3.0,1.0,0.1,0.1,0.006461489127967465,20.781743887743517
90,5000,19.0,3.0,0.5,0.1,0.1,0.023354968324845685,54.33400734474801
91,5000,19.0,3.0,0.75,0.1,0.1,0.0,20.071464475172355
92,5000,19.0,3.0,1.0,0.1,0.1,0.012060453783110546,21.817759057437115
93,5000,20.0,3.0,0.5,0.1,0.1,0.026514718611184675,71.63944978947869
94,5000,20.0,3.0,0.75,0.1,0.1,0.0,33.14266128614414
95,5000,20.0,3.0,1.0,0.1,0.1,0.011070633340460812,23.42706973154327
96,5000,21.0,3.0,0.5,0.1,0.1,0.013926212476455828,50.70474592333206
97,5000,21.0,3.0,0.75,0.1,0.1,0.0,36.450482970136015
98,5000,21.0,3.0,1.0,0.1,0.1,0.013533845837934728,27.319730670076407
99,5000,22.0,3.0,0.5,0.1,0.1,0.0193844673839024,66.7103158087387
100,5000,22.0,3.0,0.75,0.1,0.1,0.0,40.012238729101654
101,5000,22.0,3.0,1.0,0.1,0.1,0.013231937691969951,29.421489051585198
102,5000,23.0,3.0,0.5,0.1,0.1,0.026514718611184675,100.57508481337588
103,5000,23.0,3.0,0.75,0.1,0.1,0.0,51.37959120499856
104,5000,23.0,3.0,1.0,0.1,0.1,0.012765694770084504,38.965631885188806
105,5000,24.0,3.0,0.5,0.1,0.1,0.013926212476455828,72.55517635480054
106,5000,24.0,3.0,0.75,0.1,0.1,0.0,62.4811730824673
