,N,p,k,I,f,dt,om_max,life
0,1000,10.0,3.0,0.5,0.1,0.1,0.012326059298073738,9.750004138741494
1,1000,10.0,3.0,0.75,0.1,0.1,0.02955412592560155,12.983582115975567
2,1000,10.0,3.0,1.0,0.1,0.1,0.01740174372317012,5.16670390979186
3,1000,11.0,3.0,0.5,0.1,0.1,0.017789952944748205,19.488027522384208
4,1000,11.0,3.0,0.75,0.1,0.1,0.03066485360287533,19.628138011579367
5,1000,11.0,3.0,1.0,0.1,0.1,0.021990457669933676,9.040164875125804
6,1000,12.0,3.0,0.5,0.1,0.1,0.02565092833486038,27.053408571616142
7,1000,12.0,3.0,0.75,0.1,0.1,0.02701605995404406,24.28492412044899
8,1000,12.0,3.0,1.0,0.1,0.1,0.026438221218470042,15.189247274329617
9,1000,13.0,3.0,0.5,0.1,0.1,0.019347378070439392,35.576748266511665
10,1000,13.0,3.0,0.75,0.1,0.1,0.02899020318138114,28.17076070838705
11,1000,13.0,3.0,1.0,0.1,0.1,0.024227983790871613,20.46324334926801
12,1000,14.0,3.0,0.5,0.1,0.1,0.023912482125543737,51.46727520204813
13,1000,14.0,3.0,0.75,0.1,0.1,0.02848207802941763,36.37516869337736
14,1000,14.0,3.0,1.0,0.1,0.1,0.02798777132038367,24.9743656286399
15,1000,15.0,3.0,0.5,0.1,0.1,0.024752869672331354,60.57720506886299
16,1000,15.0,3.0,0.75,0.1,0.1,0.02211748486346603,39.898625395204675
17,1000,15.0,3.0,1.0,0.1,0.1,0.02676353898070059,29.199984009526567
18,1000,16.0,3.0,0.5,0.1,0.1,0.027048405369803557,76.53583183385811
19,1000,16.0,3.0,0.75,0.1,0.1,0.022122799222322617,46.23738835352388
20,1000,16.0,3.0,1.0,0.1,0.1,0.024981687068242085,36.89885979514776
21,1000,17.0,3.0,0.5,0.1,0.1,0.02808123881261211,82.66221778041398
22,1000,17.0,3.0,0.75,0.1,0.1,0.020059727072302306,56.319067394350114
23,1000,17.0,3.0,1.0,0.1,0.1,0.022653799358537115,43.921113451269804
24,1000,18.0,3.0,0.5,0.1,0.1,0.029290279910992673,91.36402758768729
25,1000,18.0,3.0,0.75,0.1,0.1,0.016901394198175233,59.915545854039365
26,1000,18.0,3.0,1.0,0.1,0.1,0.024361946207601043,50.63002435211727
27,1000,19.0,3.0,0.5,0.1,0.1,0.029441141437979296,108.07586325770355
28,1000,19.0,3.0,0.75,0.1,0.1,0.017497303530071118,67.431621130523
29,1000,19.0,3.0,1.0,0.1,0.1,0.020835232106620808,60.28296344783789
30,1000,20.0,3.0,0.5,0.1,0.1,0.031092051612957458,119.51023341340338
31,1000,20.0,3.0,0.75,0.1,0.1,0.018330933589534984,80.38942722341432
32,1000,20.0,3.0,1.0,0.1,0.1,0.019361096275315157,70.17374803040133
33,1000,21.0,3.0,0.5,0.1,0.1,0.03295269075195074,131.1899557536155
34,1000,21.0,3.0,0.75,0.1,0.1,0.01630120650083793,93.11193494024552
35,1000,21.0,3.0,1.0,0.1,0.1,0.019190578657302632,77.9607051614197
36,1000,22.0,3.0,0.5,0.1,0.1,0.032374629707176805,140.1315170274537
37,1000,22.0,3.0,0.75,0.1,0.1,0.017301623101844753,104.98477426884772
38,1000,22.0,3.0,1.0,0.1,0.1,0.018387293968839796,89.97211754007976
39,1000,23.0,3.0,0.5,0.1,0.1,0.032785891833096784,158.1765119680724
40,1000,23.0,3.0,0.75,0.1,0.1,0.017467195377504127,114.70294629498979
41,1000,23.0,3.0,1.0,0.1,0.1,0.017332645219794253,95.06213145139311
42,1000,24.0,3.0,0.5,0.1,0.1,0.03313314410297353,163.75569842119103
43,1000,24.0,3.0,0.75,0.1,0.1,0.01817673082554789,112.55223026804845
44,1000,24.0,3.0,1.0,0.1,0.1,0.01638317980548046,104.71192650161525
45,1000,25.0,3.0,0.5,0.1,0.1,0.03290521715041075,167.8827437451228
46,1000,25.0,3.0,0.75,0.1,0.1,0.01750806034431389,120.2815222391513
47,1000,25.0,3.0,1.0,0.1,0.1,0.01682832481924101,122.9106351951045
48,1000,26.0,3.0,0.5,0.1,0.1,0.032560230471081156,175.46914677438085
49,1000,26.0,3.0,0.75,0.1,0.1,0.017026511985596245,132.38524944009856
50,1000,26.0,3.0,1.0,0.1,0.1,0.016304840332406877,124.3152583450133
51,1000,27.0,3.0,0.5,0.1,0.1,0.03357072328115054,182.86690463174997
52,1000,27.0,3.0,0.75,0.1,0.1,0.016042434671124366,134.05933919213055
53,1000,27.0,3.0,1.0,0.1,0.1,0.015098774056285305,129.64139667026944
54,1000,28.0,3.0,0.5,0.1,0.1,0.03355541951875527,191.43465924740414
55,1000,28.0,3.0,0.75,0.1,0.1,0.015764217848820067,140.21475807416766
56,1000,28.0,3.0,1.0,0.1,0.1,0.015505765985570354,136.55206519331637
57,1000,29.0,3.0,0.5,0.1,0.1,0.0338184938300252,198.1760711483521
58,1000,29.0,3.0,0.75,0.1,0.1,0.017260772543707247,125.11654995414214
59,1000,29.0,3.0,1.0,0.1,0.1,0.013907442436502347,133.2799063160976
60,1000,30.0,3.0,0.5,0.1,0.1,0.03198969023197867,194.75470387115345
61,1000,30.0,3.0,0.75,0.1,0.1,0.015889642489759694,130.04693023074614
62,1000,30.0,3.0,1.0,0.1,0.1,0.014985611557091294,140.06149259894661
63,5000,10.0,3.0,0.5,0.1,0.1,0.0,0.0
64,5000,10.0,3.0,0.75,0.1,0.1,0.021689964164436637,6.619443688791569
65,5000,10.0,3.0,1.0,0.1,0.1,0.014751733334209793,0.8791800805843328
66,5000,11.0,3.0,0.5,0.1,0.1,0.05138424767466104,0.0
67,5000,11.0,3.0,0.75,0.1,0.1,0.052936497119404555,10.688910016161861
68,5000,11.0,3.0,1.0,0.1,0.1,0.017094877843519343,4.2049263278269535
69,5000,12.0,3.0,0.5,0.1,0.1,0.0520671186881399,12.96045336835469
70,5000,12.0,3.0,0.75,0.1,0.1,0.027097606961322306,8.352210765551156
71,5000,12.0,3.0,1.0,0.1,0.1,0.022879791268384606,6.770971015008501
72,5000,13.0,3.0,0.5,0.1,0.1,0.05162877398341261,28.133762578698647
73,5000,13.0,3.0,0.75,0.1,0.1,0.03225431613119257,8.40123158454556
74,5000,13.0,3.0,1.0,0.1,0.1,0.02195035721390843,12.541805072181264
75,5000,14.0,3.0,0.5,0.1,0.1,0.05500688662120023,35.25090047589595
76,5000,14.0,3.0,0.75,0.1,0.1,0.0277775252513774,11.919700979515856
